URS,36649139,42329449,53690069,65050689,70730999,76411309,87771929,93452239,101972704,110493169,138894719,147415184,155935649,209035000,222130000,235460000,244700000,257720000,261710000,276156000,285610000,,,,,,
EUN,36649139,42329449,53690069,65050689,70730999,76411309,87771929,93452239,101972704,110493169,138894719,147415184,155935649,209035000,222130000,235460000,244700000,257720000,261710000,276156000,285610000,,,,,,
KSA,5191078,5196688,5207908,5219128,5224738,5230348,5241568,5247178,5255593,5264008,5292058,5300473,5308888,4086539,4677404,5387486,6393894,7818613,9740599,12484967,15155223,17378833,19131578,20764312,23228890,25940770,29086357
SEN,2471013,2515085,2603229,2691373,2735445,2779517,2867661,2911733,2977841,3043949,3264309,3330417,3396525,3206749,3580312,4013539,4525114,5064674,5592646,6289327,7107976,8029725,8974077,9884052,10955944,12203957,13703513
SRB,1879086,1939682,2060874,2182066,2242662,2303258,2424450,2485046,2575940,2666834,2969814,3060708,3151602,3242496,3500000,4000000,4500000,500000,5500000,6000000,6800000,7646424,7617794,7516346,7463157,7350222,7199077
SCG,2021867,2112669,2294273,2475877,2566679,2657481,2839085,2929887,3066090,3202293,3656303,3792506,3928709,4000000,4500000,5200000,5900000,6500000,7300000,7500000,8000000,8181465,8170877,8087471,8052324,7957431,7824328
SIN,1006971,1035685,1093113,1150541,1179255,1207969,1265397,1294111,1337182,1380253,1523823,1566894,1609965,1646400,1841600,2012000,2152400,2293300,2413945,2732221,2846108,3230698,3670704,4027887,4166664,4839396,5312437
SVK,1347180,1436800,1616040,1795280,1884900,1974520,2153760,2243380,2377810,2512240,2960340,3094770,3229200,4068095,4327341,4483915,4596622,4789507,4979815,5127097,5250596,5305016,5373361,5388720,5372280,5379233,5407579
SLO,497231,531725,600713,669701,704195,738689,807677,842171,893912,945653,1118123,1169864,1221605,1584720,1632114,1704546,1752233,1820249,1901315,1932154,1995196,1996498,1988628,1988925,1997012,2021316,2057159
RSA,11224214,11514234,12094274,12674314,12964334,13254354,13834394,14124414,14559444,14994474,16444574,16879604,17314634,17396367,19308166,21374931,23736489,26354140,29077143,32204952,35195598,38646788,42210216,44896856,,,
ESP,10141966,10798284,12110920,13423556,14079874,14736192,16048828,16705146,17689623,18674100,21955690,22940167,23924644,30455000,31609195,33113134,34604469,36137812,37491165,38330364,38766939,39157685,39889852,40567864,42921895,45954106,46773055
SRI,4663750,4873128,5291884,5710640,5920018,6129396,6548152,6757530,7071597,7385664,8432554,8746621,9060688,9896000,10903000,11992000,12861000,13717000,14747000,15583000,16593000,17524000,18210000,18655000,19228000,19817000,20425000
SUD,6812633,6893409,7054961,7216513,7297289,7378065,7539617,7620393,7741557,7862721,8266601,8387765,8508929,7544491,8503994,9639840,10974622,12578407,14507468,16658054,18866319,21701476,24786190,27250535,30186341,32955496,35990192
SUR,118097,124999,138803,152607,159509,166411,180215,187117,197470,207823,242333,252686,263039,289966,322997,359733,371324,361364,362777,367660,391391,422763,450036,472390,493630,515148,537077
SWE,2218027,2380719,2706103,3031487,3194179,3356871,3682255,3844947,4088985,4333023,5146483,5390521,5634559,7484656,7661354,7912273,8122300,8222286,8310531,8336605,8436489,8668067,8840998,8872109,8993531,9219637,9519374
SUI,1796062,1918108,2162200,2406292,2528338,2650384,2894476,3016522,3199591,3382660,3992890,4175959,4359028,5327827,5789228,6067714,6260956,6302504,6319408,6441865,6593386,6875364,7071850,7184250,7389625,7647675,7996861
SYR,4102712,4155086,4259834,4364582,4416956,4469330,4574078,4626452,4705013,4783574,5045444,5124005,5202566,4573512,5200336,5935860,6800141,7794662,8930774,10293049,11719071,13187085,14755286,16410848,17806638,20325443,20420701
TPE,4681470,4910812,5369496,5828180,6057522,6286864,6745548,6974890,7318903,7662916,8809626,9153639,9497652,11505000,12106740,12708480,13310220,13911960,14513700,15115440,15717180,16318920,17522400,18725880,19929360,21132840,22336320
TJK,1554051,1588245,1656633,1725021,1759215,1793409,1861797,1895991,1947282,1998573,2169543,2220834,2272125,2087038,2402455,2750894,3111264,3487644,3905413,4397525,5001110,5502976,5849540,6216205,6712841,7309728,7995062
TAN,8544510,8665736,8908188,9150640,9271866,9393092,9635544,9756770,9938609,10120448,10726578,10908417,11090256,10074507,11339097,12787489,14506617,16493305,18683157,21173603,23909954,27219619,30811854,34178042,38249984,43270144,49082997
THA,15739505,16283831,17372483,18461135,19005461,19549787,20638439,21182765,21999254,22815743,25537373,26353862,27170351,27397175,30881332,34790945,39061994,43386841,47385323,51108082,54912334,57837878,60151472,62958021,65002231,66545760,67843979
TOG,1242591,1262681,1302861,1343041,1363131,1383221,1423401,1443491,1473626,1503761,1604211,1634346,1664481,1580513,1662073,1945780,2247582,2464455,2720839,3140237,3581928,3973327,4398238,4970367,5534598,6161796,6859482
TGA,24520,26136,29368,32600,34216,35832,39064,40680,43104,45528,53608,56032,58456,61601,71757,81097,86347,89254,93007,93842,94667,95496,96369,98082,100406,103005,104951
TRI,316996,334552,369664,404776,422332,439888,475000,492556,518890,545224,633004,659338,685672,848479,903275,931468,968741,1025658,1085308,1155695,1204893,1237487,1258364,1267984,1290535,1315372,1341588
TUN,2424799,2493865,2631997,2770129,2839195,2908261,3046393,3115459,3219058,3322657,3667987,3771586,3875185,4176266,4458611,4842167,5287543,5781796,6368167,7127941,7871459,8603225,9256037,9699197,10017601,10407336,10886668
